标题,url,已更新章节数,更新频率（天）,读者数,评论数,最后更新时间,作品类型,总评分,别名（中文名）,标签,作者,平台,是否翻译完成
My Dear Miss Medical Examiner,https://www.novelupdates.com/series/my-dear-miss-medical-examiner/,3,256,414,4,09-14-2021,"['Drama', 'Mature', 'Mystery', 'Psychological', 'Yuri']",4.1,我亲爱的法医小姐,"['Adapted to Manhua', 'Beautiful Female Lead', 'Bickering Couple', 'Bisexual Protagonist', 'Character Growth', 'Clever Protagonist', 'Cold Protagonist', 'Couple Growth', 'Doting Love Interests', 'Medical Knowledge', 'Past Trauma', 'Police', 'Revenge', 'Serial Killers', 'Slow Romance', 'Stoic Characters', 'Wealthy Characters']",酒暖春深,jjwxc,No
After Being Bent by Reader,https://www.novelupdates.com/series/after-being-bent-by-reader/,190,41.1,1604,25,08-29-2021,"['Completed', 'Drama', 'Romance', 'Yuri']",4.4,被读者掰弯后,"['Beautiful Female Lead', 'Boss-Subordinate Relationship', 'Couple Growth', 'Cute Story', 'Female Protagonist', 'Heartwarming', 'Love Interest Falls in Love First', 'Modern Day', 'Writers']",逆签,jjwxc,Yes
Miss President is a Crybaby,https://www.novelupdates.com/series/miss-president-is-a-crybaby/,34,40.7,1040,14,09-24-2021,"['Comedy', 'Drama', 'Romance', 'Yuri']",4.6,总裁她总是哭唧唧,"['Beautiful Female Lead', 'Boss-Subordinate Relationship', 'Couple Growth', 'Cute Story', 'Female Protagonist', 'Heartwarming', 'Modern Day']",李秋琅,jjwxc,No
I Don’t Want to Work Hard Anymore,https://www.novelupdates.com/series/i-dont-want-to-work-hard-anymore/,1,700,185,0,05-31-2021,"['Romance', 'Yuri']",4,影后我不想努力了,[],御川不洗手,jjwxc,No
"I Want to be Alone, Beautifully",https://www.novelupdates.com/series/i-want-to-be-alone-beautifully/,52,47.1,1123,8,10-07-2021,"['Drama', 'Mature', 'Romance', 'Sci-fi', 'Yuri']",4.2,我想独自美丽[快穿],"['Apathetic Protagonist', 'Beautiful Female Lead', 'Character Growth', 'Childhood Love', 'Cold Protagonist', 'Devoted Love Interests', 'Female Protagonist', 'Multiple Identities', 'Obsessive Love', 'Omegaverse', 'Resurrection', 'Revenge', 'R*pe', 'Tragic Past', 'Transmigration', 'Wealthy Characters', 'World Hopping', 'Yandere']",柒殇祭,jjwxc,No
"Host, Please Don’t Match Up with the Vicious Female",https://www.novelupdates.com/series/host-please-dont-match-up-with-the-vicious-female/,46,47.4,960,7,06-04-2021,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-fi', 'Yuri']",4,宿主，请别对恶毒女配下手[快穿],"['Ancient China', 'Apocalypse', 'Beautiful Female Lead', 'Calm Protagonist', 'Clumsy Love Interests', 'Episodic', 'Female Protagonist', 'Multiple Transported Individuals', 'Protagonist Strong from the Start', 'Transmigration', 'Vampires', 'World Hopping']",姜沉漾,jjwxc,No
Heartburn,https://www.novelupdates.com/series/heartburn/,6,127.8,233,2,05-26-2021,"['Drama', 'Fantasy', 'Historical', 'Romance', 'Yuri']",4.2,(女尊GL）灼心,"['Ancient China', 'Betrayal', 'Court Official', 'Manipulative Characters', 'Transmigration']",失眠七夜,jjwxc,No
Golden Crow’s Self-Cultivation,https://www.novelupdates.com/series/golden-crows-self-cultivation/,46,47.4,577,2,06-04-2021,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Yuri']",3.8,金乌的自我修养[快穿],"['Acting', 'Beautiful Female Lead', 'Calm Protagonist', 'Female Protagonist', 'Game Elements', 'Love Interest Falls in Love First', 'Multiple Identities', 'Multiple Realms', 'Protagonist Strong from the Start', 'Resurrection', 'Smart Couple', 'Strong Love Interests', 'Survival Game', 'Transmigration', 'Wealthy Characters', 'World Hopping']",假鱼,jjwxc,No
After the Full-Level Boss is Reborn,https://www.novelupdates.com/series/after-the-full-level-boss-is-reborn/,45,47.4,694,6,06-05-2021,"['Action', 'Drama', 'Romance', 'Xianxia', 'Yuri']",4,满级大佬重生以后,"['Antihero Protagonist', 'Beautiful Female Lead', 'Cold Protagonist', 'Cultivation', 'Demons', 'Female Protagonist', 'Master-Disciple Relationship', 'Multiple Personalities', 'Protagonist Strong from the Start', 'Reincarnation', 'Revenge', 'Ruthless Protagonist', 'Strong Love Interests', 'Tragic Past', 'Transmigration', 'Unconditional Love']",游鲲,jjwxc,No
One Pet Gets Married,https://www.novelupdates.com/series/one-pet-gets-married/,8,90.8,464,4,06-08-2021,"['Comedy', 'Romance', 'Yuri']",4.5,一宠成婚(古穿今),"['Beautiful Female Lead', 'Calm Protagonist', 'Celebrities', 'Doting Love Interests', 'Famous Protagonist', 'Heartwarming', 'Marriage', 'Marriage of Convenience', 'Misunderstandings', 'Modern Day', 'Protagonist Falls in Love First', 'Seduction', 'Showbiz', 'Transmigration']",魅骨,jjwxc,No
"Our Days of Youth, Beautiful as a Poem",https://www.novelupdates.com/series/our-days-of-youth-beautiful-as-a-poem/,5,135.8,325,2,07-17-2021,"['Romance', 'School Life', 'Slice of Life', 'Yuri']",4.4,你与青春如诗,"['Childhood Friends', 'Childhood Love', 'Coming of Age', 'Family', 'Friendship', 'Modern Day', 'Slow Romance', 'Smart Couple']",柚色miyo,jjwxc,No
The Noble Consort’s Pet Empress,https://www.novelupdates.com/series/the-noble-consorts-pet-empress/,0,64.1,1235,2,N/A,"['Comedy', 'Fantasy', 'Historical', 'Martial Arts', 'Romance', 'Yuri']",4.2,贵妃的家养皇后,"['Adopted Children', 'Ancient China', 'Assassins', 'Beautiful Female Lead', 'Bisexual Protagonist', 'Calm Protagonist', 'Cohabitation', 'Confident Protagonist', 'Devoted Love Interests', 'Hiding True Identity', 'Imperial Harem', 'Loyal Subordinates', 'Overpowered Protagonist', 'Pets', 'Power Couple', 'Protagonist Falls in Love First', 'Protagonist Strong from the Start', 'Royalty', 'Shameless Protagonist', 'Transmigration']",江南魂姑娘,jjwxc,No
Chen Ruobing and I,https://www.novelupdates.com/series/chen-ruobing-and-i/,21,44.7,375,10,07-01-2021,"['Completed', 'Drama', 'Romance', 'School Life', 'Yuri']",4.3,我和陈若冰,"['Beautiful Female Lead', 'Heartwarming', 'Modern Day', 'Short Story']",醉也真,Chang Pei (gongzicp),Yes
The Vixen is Attacked,https://www.novelupdates.com/series/the-vixen-is-attacked/,4,212.5,345,2,08-16-2021,"['Adventure', 'Comedy', 'Fantasy', 'Historical', 'Romance', 'Yuri']",4.2,狐狸精被攻记GL,"['Ancient China', 'Demons', 'Devoted Love Interests', 'Female Protagonist', 'Fox Spirits', 'Interdimensional Travel', 'Magic', 'Past Plays a Big Role', 'System Administrator', 'World Hopping']",白日曦,jjwxc,No
On the Best Way to Punish the Unfaithful Ex,https://www.novelupdates.com/series/on-the-best-way-to-punish-the-unfaithful-ex/,1,739,132,0,04-21-2021,"['Romance', 'Yuri']",3.7,论惩罚花心前任的最佳方式,[],寿头,jjwxc,No
Classmate is Not a Demon,https://www.novelupdates.com/series/classmate-is-not-a-demon/,1,739,288,2,04-21-2021,"['Romance', 'Yuri']",4.2,同学不作妖[重生],"['Beautiful Female Lead', 'Clever Protagonist', 'Cold Love Interests', 'Devoted Love Interests', 'Female Protagonist', 'Love Interest Falls in Love First', 'Modern Day', 'Power Couple', 'Time Travel', 'Unconditional Love']",时微月上,jjwxc,No
I Became Love Rivals With My Crush,https://www.novelupdates.com/series/i-became-love-rivals-with-my-crush/,10,88.4,834,7,04-24-2021,"['Comedy', 'Romance', 'Xianxia', 'Yuri']",4.2,我和心上人成了情敌,"['Beautiful Female Lead', 'Character Growth', 'Cold Love Interests', 'Couple Growth', 'Cultivation', 'Devoted Love Interests', 'Familial Love', 'Female Protagonist', 'First Love', 'Jealousy', 'Love at First Sight', 'Marriage', 'Power Couple', 'Proactive Protagonist', 'Protagonist Falls in Love First', 'Strong Love Interests', 'Transmigration']",热到昏厥,jjwxc,No
Willingly Baited,https://www.novelupdates.com/series/willingly-baited/,2,372,733,4,04-25-2021,"['Mature', 'Romance', 'Yuri']",4.5,愿者上钩（GL）,"['Adultery', 'Beautiful Female Lead', 'Business Management', 'Clever Protagonist', 'Cold Love Interests', 'Devoted Love Interests', 'Divorce', 'Doting Older Siblings', 'Doting Parents', 'Family Business', 'First Love', 'Modern Day', 'Persistent Love Interests', 'Slow Romance', 'Unconditional Love', 'Wealthy Characters']",明也,jjwxc,No
"Princess, Spare My Life",https://www.novelupdates.com/series/princess-spare-my-life/,55,63.2,1554,12,05-16-2021,"['Action', 'Fantasy', 'Historical', 'Martial Arts', 'Romance', 'Yuri']",4.2,公主饶命 GL,"['Adopted Children', 'Ancient China', 'Arranged Marriage', 'Assassins', 'Beautiful Female Lead', 'Cross-dressing', 'Cunning Protagonist', 'Devoted Love Interests', 'Marriage', 'Military', 'Nobles', 'Protagonist Falls in Love First', 'Protagonist Strong from the Start', 'Royalty', 'Strong Love Interests', 'Transmigration']",凤崎舞,jjwxc,No
Transmigrated Into a Smashing Asura Girl,https://www.novelupdates.com/series/transmigrated-into-a-smashing-asura-girl/,40,64.9,1636,3,02-24-2021,"['Adventure', 'Comedy', 'Romance', 'Xianxia', 'Yuri']",3.9,穿成阿修罗妹砸［穿书］,"['Battle Academy', 'Beautiful Female Lead', 'Cold Love Interests', 'Cooking', 'Cultivation', 'Dense Protagonist', 'Fated Lovers', 'Female Protagonist', 'First Love', 'Love Interest Falls in Love First', 'Marriage', 'Mysterious Past', 'Mystery Solving', 'Strong Love Interests', 'Transmigration', 'Villainess Noble Girls']",长鱼即墨,jjwxc,No
When the Hacker is Forced to Marry,https://www.novelupdates.com/series/when-the-hacker-is-forced-to-marry/,58,56.1,1942,12,02-14-2021,"['Completed', 'Adventure', 'Comedy', 'Romance', 'Sci-fi', 'Yuri']",4.1,当技术宅被逼婚,"['Arranged Marriage', 'Beautiful Female Lead', 'Clever Protagonist', 'Devoted Love Interests', 'Female Protagonist', 'Guideverse', 'Hackers', 'Martial Spirits', 'Mercenaries', 'Politics', 'Power Couple', 'Protagonist Strong from the Start', 'Royalty', 'Secret Organizations', 'Spirit Users', 'Strong Love Interests', 'Transmigration', 'Underestimated Protagonist']",山有荷叶,jjwxc,Yes
Mary Sue Meets Cinderella,https://www.novelupdates.com/series/mary-sue-meets-cinderella/,36,63.7,382,4,01-23-2021,"['Comedy', 'Drama', 'Romance', 'School Life', 'Supernatural', 'Yuri']",3.4,玛丽苏遭遇灰姑娘,"['Devoted Love Interests', 'Female Protagonist', 'Heartwarming', 'Modern Day', 'Multiple POV', 'Vampires', 'Wealthy Characters']",陌荨,jjwxc,No
Summon Survival,https://www.novelupdates.com/series/summon-survival/,16,72.9,994,7,02-04-2021,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural', 'Yuri']",4.1,召唤生存[末世],"['Ability Steal', 'Aggressive Characters', 'Anti-social Protagonist', 'Apathetic Protagonist', 'Apocalypse', 'Beautiful Female Lead', 'Betrayal', 'Calm Protagonist', 'Character Growth', 'Cohabitation', 'Cold Protagonist', 'Conditional Power', 'Contracts', 'Cunning Protagonist', 'Devoted Love Interests', 'Fantasy Creatures', 'Female Protagonist', 'Firearms', 'First Love', 'Game Elements', 'Hard-Working Protagonist', 'Hiding True Abilities', 'Interdimensional Travel', 'Kind Love Interests', 'Level System', 'Love Interest Falls in Love First', 'Low-key Protagonist', 'Mercenaries', 'Older Love Interests', 'Persistent Love Interests', 'Popular Love Interests', 'Post-apocalyptic', 'Power Couple', 'Reincarnation', 'Revenge', 'Ruthless Protagonist', 'Saving the World', 'Second Chance', 'Selfish Protagonist', 'Slow Romance', 'Strong Love Interests', 'Summoning Magic', 'Survival', 'Underestimated Protagonist', 'Weak to Strong', 'Zombies']",['L泗X汐Y'],jjwxc,No
Jiao Huan Ying Hou,https://www.novelupdates.com/series/jiao-huan-ying-hou/,21,129.7,1505,11,01-25-2021,"['Comedy', 'Drama', 'Romance', 'Supernatural', 'Yuri']",4.6,交换影后,"['Acting', 'Beautiful Female Lead', 'Bickering Couple', 'Body Swap', 'Calm Protagonist', 'Celebrities', 'Cold Love Interests', 'Heartwarming', 'Modern Day', 'Showbiz']",君sola,jjwxc,No
The Beauty’s Blade,https://www.novelupdates.com/series/the-beautys-blade/,52,50.3,1351,10,04-17-2021,"['Completed', 'Action', 'Historical', 'Martial Arts', 'Wuxia', 'Yuri']",4.1,美人剑,"['Beautiful Female Lead', 'Clever Protagonist', 'Cold Love Interests', 'Cultivation', 'Enemies Become Lovers', 'Famous Protagonist', 'Female Protagonist', 'Murders', 'Narcissistic Protagonist', 'Protagonist Falls in Love First', 'Protagonist Strong from the Start', 'Revenge', 'Ruthless Protagonist', 'Schemes And Conspiracies', 'Shameless Protagonist', 'Tragic Past']",封刃作书,jjwxc,Yes
Overbearing City Inspector Fell In Love With Me,https://www.novelupdates.com/series/overbearing-city-inspector-fell-in-love-with-me/,4,249.3,264,1,02-26-2021,"['Romance', 'Slice of Life', 'Yuri']",3.6,霸道城管爱上我（GL）,"['Beautiful Female Lead', 'Cute Story', 'Female Protagonist', 'Modern Day', 'Short Story']","菜有染,",jjwxc,No
Imperial Chef Rookie,https://www.novelupdates.com/series/imperial-chef-rookie/,23,116.3,848,4,02-26-2021,"['Comedy', 'Historical', 'Romance', 'Slice of Life', 'Yuri']",4.2,御厨小白,"['Average-looking Protagonist', 'Beautiful Female Lead', 'Carefree Protagonist', 'Chefs', 'Cooking', 'Cross-dressing', 'Hard-Working Protagonist', 'Royalty']",妃呼狶,jjwxc,No
Never Dare to Abuse the Female Protagonist Again,https://www.novelupdates.com/series/never-dare-to-abuse-the-female-protagonist-again/,9,104.2,1803,5,03-16-2021,"['Comedy', 'Drama', 'Romance', 'School Life', 'Supernatural', 'Yuri']",4.2,再也不敢虐女主了,"['Beautiful Female Lead', 'Calm Protagonist', 'Female Protagonist', 'Love Interest Falls in Love First', 'Modern Day', 'Possessive Characters', 'Strong Love Interests', 'Transmigration', 'Wealthy Characters', 'Writers', 'Yandere']",满城时光,jjwxc,No
My Consort is Alpha,https://www.novelupdates.com/series/my-consort-is-alpha/,4,381,664,2,04-02-2021,"['Adventure', 'Fantasy', 'Gender Bender', 'Romance', 'Sci-fi', 'Yuri']",3.9,我的驸马是Alpha,"['Beautiful Female Lead', 'First-time Interc**rse', 'Futanari', 'Human-Nonhuman Relationship', 'Love Interest Falls in Love First', 'Military', 'Multiple Transported Individuals', 'Omegaverse', 'Overpowered Protagonist', 'Protagonist Strong from the Start', 'Royalty', 'Seme Protagonist', 'Transmigration']",終身不婚,jjwxc,No
The Imperial Doctor Belongs To The Princess,https://www.novelupdates.com/series/the-imperial-doctor-belongs-to-the-princess/,18,63.9,1239,4,11-16-2020,"['Drama', 'Fantasy', 'Historical', 'Romance', 'Yuri']",4.4,公主的御用毒医,"['Ancient China', 'Beautiful Female Lead', 'Calm Protagonist', 'Complex Family Relationships', 'Doctors', 'Family Conflict', 'Royalty', 'Schemes And Conspiracies', 'System Administrator', 'Transmigration']",江南魂姑娘,jjwxc,No
My Brother has Turned into a Loli,https://www.novelupdates.com/series/my-brother-has-turned-into-a-loli/,26,66,854,1,11-19-2020,"['Adventure', 'Fantasy', 'Gender Bender', 'Romance', 'Yuri']",3.9,哥哥在游戏里变成萝莉了，怎么办,"['Game Elements', 'Magic', 'Male to Female', 'Transported into a Game World', 'Younger Sisters']",十万水星,SFACG,No
Former Cannon Fodder’s Self-help Manual,https://www.novelupdates.com/series/former-cannon-fodders-self-help-manual/,30,68.3,1015,3,03-27-2021,"['Adult', 'Drama', 'Romance', 'Yuri']",4.1,炮灰前任自救手册[快穿],"['Beautiful Female Lead', 'Celebrities', 'Episodic', 'Female Protagonist', 'Interdimensional Travel', 'Love Interest Falls in Love First', 'Modern Day', 'Multiple Realms', 'Older Love Interests', 'System Administrator', 'Transmigration', 'Wealthy Characters', 'World Hopping', 'World Travel']",糯米饼,jjwxc,No
Record of the Poison Doctor Pursuing Her Wife,https://www.novelupdates.com/series/record-of-the-poison-doctor-pursuing-her-wife/,10,127.6,755,2,12-11-2020,"['Action', 'Historical', 'Martial Arts', 'Romance', 'Wuxia', 'Yuri']",3.9,毒医追妻记gl,"['Ancient Times', 'Assassins', 'Beautiful Female Lead', 'Devoted Love Interests', 'Doctors', 'Famous Protagonist', 'Genius Protagonist', 'Heartwarming', 'Medical Knowledge', 'Poisons', 'Power Couple', 'Smart Couple', 'Strong Love Interests', 'Tsundere']",执念啊,jjwxc,No
Let Me Go! I Need to Study!,https://www.novelupdates.com/series/let-me-go-i-need-to-study/,26,61,597,3,12-07-2020,"['Completed', 'Comedy', 'Romance', 'Supernatural', 'Yuri']",4.2,放开我！我要学习！,"['Animal Characteristics', 'Awkward Protagonist', 'Beautiful Female Lead', 'Carefree Protagonist', 'Cute Protagonist', 'Cute Story', 'Devoted Love Interests', 'Doting Love Interests', 'Female Protagonist', 'Heartwarming', 'Kind Love Interests', 'Modern Day', 'Pets', 'Protagonist Falls in Love First', 'Second Chance', 'Secret Crush', 'Secrets']",三月图腾,jjwxc,Yes
Pregnant With the Villain Boss’ Baby,https://www.novelupdates.com/series/pregnant-with-the-villain-boss-baby/,13,74.4,771,3,12-13-2020,"['Comedy', 'Romance', 'Sci-fi', 'Yuri']",3.7,怀了反派boss的崽,"['Acting', 'Alternate World', 'Aristocracy', 'Beautiful Female Lead', 'Celebrities', 'Childcare', 'Cute Children', 'Doting Love Interests', 'Generals', 'Heartwarming', 'Military', 'Modern Day', 'Omegaverse', 'Pregnancy', 'Single Parent', 'Strong Love Interests', 'Transmigration', 'Virtual Reality', 'Wealthy Characters']",千里日和,jjwxc,No
A Half-Human and Half-Vampire Savior,https://www.novelupdates.com/series/a-half-human-and-half-vampire-savior/,0,144.5,305,1,N/A,"['Action', 'Gender Bender', 'Horror', 'Romance', 'Supernatural', 'Yuri']",3.4,重生异世界变成血族拯救世界,"['Angels', 'Aristocracy', 'Beautiful Female Lead', 'Cruel Characters', 'Demi-Humans', 'Demon Lord', 'Demons', 'Depictions of Cruelty', 'Dragons', 'Dwarfs', 'Elves', 'Evil Gods', 'Eye Powers', 'Godly Powers', 'Gods', 'Half-human Protagonist', 'Harem-seeking Protagonist', 'Hiding True Identity', 'Lack of Common Sense', 'Magic', 'Male to Female', 'Master-Servant Relationship', 'Monsters', 'Multiple Personalities', 'Perverted Protagonist', 'Possessive Characters', 'Reincarnated in Another World', 'Royalty', 'Sadistic Characters', 'Schemes And Conspiracies', 'Sealed Power', 'Servants', 'Sister Complex', 'Skill Assimilation', 'S*aves', 'Special Abilities', 'Spirit Advisor', 'Sword And Magic', 'Torture', 'Transformation Ability', 'Vampires', 'Wars', 'Weak to Strong']",季愁然,SFACG,No
How Lucky I Am To Meet You,https://www.novelupdates.com/series/how-lucky-i-am-to-meet-you/,5,176.4,277,0,12-13-2020,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Yuri']",4,有幸,"['Apathetic Protagonist', 'Autism', 'Awkward Protagonist', 'Beautiful Female Lead', 'Bookworm', 'Calm Protagonist', 'Carefree Protagonist', 'Cautious Protagonist', 'Charismatic Protagonist', 'Charming Protagonist', 'Childhood Friends', 'Childhood Love', 'Clever Protagonist', 'Clumsy Love Interests', 'Cold Love Interests', 'Doctors', 'Doting Love Interests', 'Female Protagonist', 'Flashbacks', 'Genius Protagonist', 'Strong Love Interests', 'Tomboyish Female Lead']",今轲,jjwxc,No
My Wife Pretends to be Poor Everyday,https://www.novelupdates.com/series/my-wife-pretends-to-be-poor-everyday/,6,143,440,1,01-05-2021,"['Comedy', 'Romance', 'Slice of Life', 'Yuri']",3.7,老婆每天都在装穷,"['Beautiful Female Lead', 'Carefree Protagonist', 'Wealthy Characters']",见鲸落,jjwxc,No
What To Do If The System Forces You To Exercise,https://www.novelupdates.com/series/what-to-do-if-the-system-forces-you-to-exercise/,106,57.4,2385,23,12-22-2020,"['Completed', 'Action', 'Comedy', 'Drama', 'Martial Arts', 'Mature', 'Romance', 'Yuri']",4.2,被系统逼着健身怎么办,"['Acting', 'Beautiful Female Lead', 'Carefree Protagonist', 'Celebrities', 'Co-Workers', 'Cold Love Interests', 'Determined Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Doting Older Siblings', 'Doting Parents', 'Famous Protagonist', 'Female Protagonist', 'Genius Protagonist', 'Honest Protagonist', 'Love Interest Falls in Love First', 'Modern Day', 'Protagonist Strong from the Start', 'Showbiz', 'Sister Complex', 'Slow Romance', 'Strong to Stronger', 'System Administrator', 'Unconditional Love']",千里日和,jjwxc,Yes
"Big Brother, Please Save Us!",https://www.novelupdates.com/series/big-brother-please-save-us/,12,88.6,590,3,01-08-2021,"['Action', 'Adult', 'Adventure', 'Horror', 'Psychological', 'Supernatural', 'Tragedy', 'Yuri']",3.6,末日重生后我穿进了逃生游戏,"['Alternate World', 'Apocalypse', 'Beautiful Female Lead', 'Betrayal', 'Calm Protagonist', 'Cannibalism', 'Cautious Protagonist', 'Charismatic Protagonist', 'Cold Protagonist', 'Confident Protagonist', 'Cunning Protagonist', 'Dense Protagonist', 'Determined Protagonist', 'Evil Religions', 'Fearless Protagonist', 'Game Elements', 'Love Interest Falls in Love First', 'Low-key Protagonist', 'Murders', 'Overpowered Protagonist', 'Poor Protagonist', 'Proactive Protagonist', 'Protagonist Strong from the Start', 'Saving the World', 'Strong Love Interests', 'Survival Game', 'System Administrator', 'Virtual Reality', 'Zombies']",糜陛,jjwxc,No
Cin Heung: Life is Strange,https://www.novelupdates.com/series/cin-heung-life-is-strange/,33,62.9,274,3,10-24-2020,"['Completed', 'Drama', 'Romance', 'Slice of Life', 'Yuri']",3.6,芊香,"['Beautiful Female Lead', 'Character Growth', 'Co-Workers', 'Couple Growth', 'Enlightenment', 'Hard-Working Protagonist', 'Office Romance', 'Salaryman']",利雅綸,Penana,Yes
Villainess With a Cat Changing System,https://www.novelupdates.com/series/villainess-with-a-cat-changing-system/,26,68.7,1992,17,01-10-2021,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Yuri']",4.3,恶毒女配有变猫系统后[娱乐圈],"['Acting', 'Animal Characteristics', 'Beautiful Female Lead', 'Business Management', 'Celebrities', 'Character Growth', 'Clingy Lover', 'Confident Protagonist', 'Couple Growth', 'Dense Protagonist', 'Different Social Status', 'Doting Older Siblings', 'Enemies Become Lovers', 'Female Protagonist', 'Game Ranking System', 'Hard-Working Protagonist', 'Hot-blooded Protagonist', 'Jealousy', 'Kind Love Interests', 'Love Interest Falls in Love First', 'Love Rivals', 'Modern Day', 'Money Grubber', 'Past Trauma', 'Persistent Love Interests', 'Pets', 'Phobias', 'Popular Love Interests', 'Selfish Protagonist', 'Straight Uke', 'Transmigration', 'Tsundere', 'Villainess Noble Girls', 'Younger Sisters']",笑蓝,jjwxc,No
Stupid Cup,https://www.novelupdates.com/series/stupid-cup/,0,153.2,376,3,N/A,"['Completed', 'Comedy', 'Romance', 'School Life', 'Yuri']",4,蠢杯子,['Ghosts'],瞳师,jjwxc,Yes
There is a Wall Behind the Shadow,https://www.novelupdates.com/series/there-is-a-wall-behind-the-shadow/,0,903,404,4,11-08-2020,"['Action', 'Adult', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Yuri']",4.2,影后有堵墙,"['Acting', 'Apocalypse', 'Beautiful Female Lead', 'Calm Protagonist', 'Famous Protagonist', 'Female Protagonist', 'Late Romance', 'Modern Day', 'Power Couple', 'Protagonist Strong from the Start', 'Showbiz', 'Slow Romance', 'Survival', 'Transmigration']",云惘然,jjwxc,No
"I, Cute Grass, am Super Fierce!",https://www.novelupdates.com/series/i-cute-grass-am-super-fierce/,4,272.8,384,0,05-30-2020,"['Fantasy', 'Slice of Life', 'Supernatural', 'Yuri']",3.7,我，萌草，超凶的！,"['Beautiful Female Lead', 'Dense Protagonist', 'Fated Lovers', 'Female Protagonist', 'Loli', 'Love Interest Falls in Love First', 'Non-humanoid Protagonist', 'Transformation Ability', 'Tsundere', 'Unique Cultivation Technique']",三千痴念,jjwxc,No
"After Being Marked, I Have a Baby",https://www.novelupdates.com/series/after-being-marked-i-have-a-baby/,2,538,464,2,05-21-2020,"['Fantasy', 'Romance', 'Sci-fi', 'Slice of Life', 'Yuri']",3.7,被标记后有娃了,"['Beautiful Female Lead', 'Childcare', 'Cute Children', 'Cute Story', 'Devoted Love Interests', 'Doting Love Interests', 'Generals', 'Heartwarming', 'Hidden Abilities', 'Love Interest Falls in Love First', 'Maids', 'Modern Day', 'Omegaverse', 'Pregnancy', 'Short Story', 'Single Parent', 'Special Abilities', 'Strong Love Interests', 'Transported to Another World', 'Virtual Reality']",笑蓝,jjwxc,No
She Said I Gave Birth to Her Child,https://www.novelupdates.com/series/she-said-i-gave-birth-to-her-child/,4,266.8,352,3,06-03-2020,"['Drama', 'Psychological', 'Romance', 'Yuri']",4.2,我帮学姐生孩子？gl,"['Absent Parents', 'Beautiful Female Lead', 'Caring Protagonist', 'Child Abuse', 'Childcare', 'Complex Family Relationships', 'Devoted Love Interests', 'Female Protagonist', 'First Love', 'Hard-Working Protagonist', 'Helpful Protagonist', 'Modern Day', 'Older Love Interests', 'Past Trauma', 'R*pe', 'Short Story']",色之羊予沁,jjwxc,No
I’m So Unlucky to Know You for Eight Lifetimes!,https://www.novelupdates.com/series/im-so-unlucky-to-know-you-for-eight-lifetimes/,12,77.3,431,2,10-21-2020,"['Completed', 'Comedy', 'Drama', 'Romance', 'Slice of Life', 'Yuri']",3.8,认识你我真是倒了八辈子霉了！,"['Bisexual Protagonist', 'Blind Dates', 'Childhood Friends', 'Female Protagonist', 'Friendship', 'Jealousy', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Secret Crush']",一首歌的时间,jjwxc,Yes
"Ah, Senior Brother is Actually a Sister!",https://www.novelupdates.com/series/ah-senior-brother-is-actually-a-sister/,7,159.6,1081,3,06-07-2020,"['Comedy', 'Drama', 'Martial Arts', 'Romance', 'Smut', 'Xianxia', 'Yuri']",4.3,原来是师姐啊！,"['Ancient Times', 'Beautiful Female Lead', 'Cold Love Interests', 'Cross-dressing', 'Cultivation', 'Devoted Love Interests', 'Doting Love Interests', 'Fast Cultivation', 'Immortals', 'Love Interest Falls in Love First', 'Misunderstandings', 'Naive Protagonist', 'Persistent Love Interests', 'Strong Love Interests', 'Transmigration', 'Unconditional Love']",失眠七夜,jjwxc,No
Pseudo Teacher x Morbidly Dark Student,https://www.novelupdates.com/series/pseudo-teacher-x-morbidly-dark-student/,0,2000,520,1,N/A,"['Completed', 'Adult', 'Romance', 'Smut', 'Yuri']",3.6,伪师生 病态黑暗年下学生×纯洁善良年上老师 略带sm,"['BDSM', 'First-time Interc**rse', 'Oneshot', 'Possessive Characters', 'R*pe', 'Student-Teacher Relationship', 'Yandere']",不知道不知道,PO18,Yes
Received a Wife From the Civil Affairs Bureau,https://www.novelupdates.com/series/received-a-wife-from-the-civil-affairs-bureau/,54,71,1766,21,06-01-2020,"['Completed', 'Drama', 'Mature', 'Romance', 'Slice of Life', 'Yuri']",4.3,民政局领到了媳妇,"['Beautiful Female Lead', 'Blind Dates', 'Carefree Protagonist', 'Cute Children', 'Devoted Love Interests', 'Female Protagonist', 'First Love', 'Heartwarming', 'Hiding True Identity', 'Love at First Sight', 'Manipulative Characters', 'Marriage', 'Modern Day', 'Pregnancy', 'Protagonist Falls in Love First', 'Slow Romance']",白念君,jjwxc,Yes
